算法名称,是否发布,核数,副本数,发布位置
DeepAGI,否,0,0,GPU
deepSearch,是,1,1,CPU
view_data,是,1,1,CPU
pinch_point,是,1,1,CPU
restricted_new_build,是,1,1,CPU
restricted_judge,是,1,1,CPU
reconstruct_redesign,是,3,2,CPU
ex_fix_opt,是,1,1,CPU
ex_eval,是,1,1,CPU
info_check,是,1,1,CPU
input_deal,是,1,1,CPU
file_exists,是,1,1,CPU
AT_exergy_cal,是,1,1,CPU
bl3_steamflow_0816,是,1,1,CPU
boiler_rt,是,1,1,CPU
spc_PID_auto_tune_train,否,1,1,CPU
spc_PID_auto_tune_train_online,否,1,1,CPU
spc_dataprocess_PID_train,否,1,1,CPU
spc_dataprocess_train,否,1,1,CPU
spc_classification_train,否,1,1,CPU
spc_classification_train_online,否,1,1,CPU
spc_select_feature_train,否,1,1,CPU
spc_identification_analysis_train,否,1,1,CPU
spc_forecast_train,否,1,1,CPU
spc_forecast_train_online,否,1,1,CPU
spc_long_control_train,否,1,1,CPU
spc_long_control_train_online,否,1,1,CPU
extract_product_sites,是,1,1,CPU
model_update,是,1,1,CPU
AT_opt,是,1,1,CPU
key_variable_write,是,1,1,CPU
ts_data_eval_v9,是,1,1,CPU
ts_data_process_v9,是,1,1,CPU
tpt_saas_anomaly_pump,否,0,0,GPU
TPT_high_frequency,是,1,1,CPU
tpt_saas_anomaly_controlvalve,是,1,1,CPU
TPT_finetuning,否,0,0,GPU
TPT_inference,是,1,1,CPU
Membrane_2,是,1,1,CPU
process_anomaly_warning,是,1,1,CPU
assets_reliability_assessment,是,1,1,CPU
control_performance_assessment,是,1,1,CPU
spc_dataprocess_train_gui,是,1,1,CPU
spc_correlation_analysis_gui,是,1,1,CPU
spc_identification_analysis_train_gui,是,1,1,CPU
spc_swiftcontrol_train_gui,是,1,1,CPU
spc_adaptivecontrol_offline_gui,是,1,1,CPU
spc_dataprocess_train_online_gui,是,1,1,CPU
spc_classification_train_online_gui,是,1,1,CPU
spc_forecast_online_gui,是,1,1,CPU
spc_swiftcontrol_train_online_gui,是,1,1,CPU
spc_long_control_train_online_gui,是,2,1,CPU
spc_online_optimization_gui,是,1,1,CPU
spc_adaptivecontrol_online_gui,是,1,1,CPU
AutoMLTransformerInference,是,1,1,CPU
TPT-SSD2,是,1,1,CPU
TPT-SSD1,是,1,1,CPU
TPT_optimize_2,是,1,1,CPU
AutoMLRegressionInferenceOnline,是,1,1,CPU
TPTMoE,否,0,0,GPU
tptmoe_inference,是,0.5,1,GPU
control_performance_assessment_V3_train,是,1,1,CPU
control_performance_assessment_V3,是,1,1,CPU
valve_anomaly_detection_train,是,1,1,CPU
valve_anomaly_detection_infer,是,1,1,CPU
instrument_reliability_assessment_V3_train,是,1,1,CPU
instrument_reliability_assessment_V3,是,1,1,CPU
PreAlertModuleForProcessValuesInTraining,是,1,1,CPU
PreAleartModuleForProcesVariables,是,3,3,CPU
data_preprocess_analyse_v1,是,3,3,CPU
auto_supervision_score_v1,是,1,1,CPU
dataOps,是,5,1,CPU
feature_selector,是,1,1,CPU
Derived_Tag_Calculation,是,1,1,CPU
tptmoe_create_data_sample,是,1,1,CPU
process_anomaly_warning_offline,是,1,1,CPU
tpt_anomaly_pump_ops,是,1,1,CPU
